100.64.1.216;/29;SPLANG-SITE150 IA-EPLE Local subnet
100.64.1.232;/29;SPLANG-SITE151 IA-EPLE Local subnet
100.64.1.248;/29;SPLANG-SITE152 IA-EPLE Local subnet
100.64.2.8;/29;SPLANG-SITE153 IA-EPLE Local subnet
100.64.2.24;/29;SPLANG-SITE154 IA-EPLE Local subnet
100.64.2.40;/29;SPLANG-SITE155 IA-EPLE Local subnet
100.64.2.56;/29;SPLANG-SITE156 IA-EPLE Local subnet
100.64.2.72;/29;SPLANG-SITE157 IA-EPLE Local subnet
100.64.2.88;/29;SPLANG-SITE158 IA-EPLE Local subnet
100.64.2.104;/29;SPLANG-SITE159 IA-EPLE Local subnet
100.64.2.120;/29;SPLANG-SITE160 IA-EPLE Local subnet
100.64.2.136;/29;SPLANG-SITE161 IA-EPLE Local subnet
100.64.2.152;/29;SPLANG-SITE162 IA-EPLE Local subnet
100.64.2.168;/29;SPLANG-SITE163 IA-EPLE Local subnet
100.64.2.184;/29;SPLANG-SITE164 IA-EPLE Local subnet
100.64.2.200;/29;SPLANG-SITE165 IA-EPLE Local subnet
100.64.2.216;/29;SPLANG-SITE166 IA-EPLE Local subnet
10.16.1.0;/28;MBP-SITE02 CCTV LAN 
10.16.1.16;/28;MBP-SITE03 CCTV LAN 
10.16.1.32;/28;MBP-SITE04 CCTV LAN 
10.16.1.48;/28;MBP-SITE05 CCTV LAN 
10.16.1.64;/28;MBP-SITE06 CCTV LAN 
10.16.1.80;/28;MBP-SITE07 CCTV LAN 
10.16.1.96;/28;MBP-SITE08 CCTV LAN 
10.16.1.112;/28;MBP-SITE09 CCTV LAN 
10.17.1.0;/27;MBP-SITE02 Office LAN 
10.17.1.32;/27;MBP-SITE03 Office LAN 
10.17.1.64;/27;MBP-SITE04 Office LAN 
10.17.1.96;/27;MBP-SITE05 Office LAN 
10.17.1.128;/27;MBP-SITE06 Office LAN 
10.17.1.160;/27;MBP-SITE07 Office LAN 
10.17.1.192;/27;MBP-SITE08 Office LAN 
10.17.2.0;/27;MBP-SITE09 Office LAN 
10.50.47.0;/24;CRS-SITE04-LAN2   
10.60.51.0;/24;CRS-SITE08-LAN2   
10.60.58.0;/24;CRS-SITE09-LAN2   
10.100.36.0;/29;PER-SITE03 - LAN IC
10.100.36.8;/29;PER-SITE03 - Real-time LAN
10.100.36.232;/29;PER-SITE03 - LAN IC
10.149.0.0;/16;CRS-SITE09-LAN1   
10.157.0.0;/16;CRS-SITE08-LAN1   
10.201.0.0;/16;CRS-SITE04-LAN1   
10.241.32.112;/29;PER-SITE04 - LAN IC
10.241.32.120;/29;PER-SITE04 - LAN IC
10.241.96.112;/29;PER-SITE05 - LAN IC
10.241.96.120;/29;PER-SITE05 - LAN IC
10.241.104.112;/29;PER-SITE06 - LAN IC
10.241.104.120;/29;PER-SITE06 - LAN IC
100.70.1.0;/24;SLBO-SITE02   
100.70.248.0;/30;SLBO-SITE02 (vlan: 115 -
172.16.181.80;/30;GRE Tunnel: ADDGAB-SITE01 POG
172.16.181.84;/30;GRE Tunnel: ADDGAB-SITE01 POG
172.16.181.88;/30;GRE Tunnel: ADDGAB-SITE01 POG
172.16.181.92;/30;GRE Tunnel: ADDGAB-SITE01 POG
172.17.17.136;/30;CRS-SITE03 - Customer LAN
172.17.17.140;/30;CRS-SITE08-LAN3   
172.31.104.212;/30;CRS-SITE04 - Customer LAN
172.31.111.88;/29;CRS-SITE05 - Customer LAN
192.168.254.224;/29;SOMDIAA-SITE21 Router->Customer  
192.168.254.232;/29;SOMDIAA-SITE20 Routrer->Customer  
192.168.254.240;/29;SOMDIAA-SITE21 DCRouter->PTH2  
192.168.254.248;/29;SOMDIAA-SITE20 DCRouter->PTH2  
10.1.1.0;/29;SFDFA-SITE24, IC to LTH2
10.1.1.8;/29;SFDFA-SITE25, IC to PTH2
77.70.134.0;/29;TEARFUND-SITE01   
77.70.134.8;/29;TEARFUND-SITE02   
77.70.134.16;/29;TEARFUND-SITE03   
77.70.134.24;/29;TEARFUND-SITE04   
77.70.134.32;/29;TEARFUND-SITE05   
77.70.134.40;/29;TEARFUND-SITE06   
77.70.134.48;/29;CAFOD-SITE01   
77.70.134.56;/29;GRR-SITE01   
77.70.134.68;/30;GEOD-SITE01_LAN   
77.70.134.72;/30;ECHO-SITE12   
77.70.134.76;/30;PML-SITE17   
77.70.134.96;/30;FUGRO-SITE01 (child of SBM-SITE01)
77.70.134.100;/30;TAAF-SITE01 (vlan: 11 -
77.70.134.104;/29;HSS-SITE01   
77.70.134.112;/29;ENDEAVOUR-SITE04   
77.70.134.120;/29;ENDEAVOUR-SITE05 (vlan: 310 -
77.70.134.128;/28;SEPOC-SITE01   
77.70.134.144;/29;ENDEAVOUR-SITE02   
77.70.134.152;/30;KCA-SITE52 (vlan: 110 -
77.70.134.160;/29;SARA-SITE01   
77.70.134.168;/29;SARA-SITE02   
77.70.134.176;/29;ENDEAVOUR-SITE07   
77.70.134.184;/29;ENDEAVOUR-SITE08   
77.70.134.192;/29;ENDEAVOUR-SITE06   
77.70.134.200;/29;ECHO-SITE13   
77.70.134.208;/29;ECHO-SITE14   
77.70.134.216;/29;ECHO-SITE15   
77.70.134.224;/29;ECHO-SITE16   
77.70.134.240;/30;KCA-SITE53 (vlan: 110 -
77.70.134.248;/29;DBI-SITE05 - remote routers
77.70.135.0;/28;DBI-SITE05   
77.70.136.128;/29;ETC-SITE032 - customer LAN
77.70.136.136;/29;ETC-SITE036 - customer LAN
77.70.136.144;/29;ETC-SITE037 - customer LAN
77.70.136.152;/29;ETC-SITE039 - customer LAN
77.70.136.160;/29;ETC-SITE040 - customer LAN
77.70.136.168;/29;ETC-SITE330 - customer LAN
77.70.137.0;/29;UNICEF-SITE037 - customer LAN
77.70.137.8;/29;UNICEF-SITE237 - customer LAN
